epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,171719,1.08117,0.93346,1.07087,0.41661,0.42047,0.37289,0.26096,1.26561,1.37878,1.35601,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,174146,1.0752,0.91464,1.06246,0.41848,0.4158,0.37268,0.26093,1.26529,1.3804,1.35688,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,176595,1.07082,0.91751,1.06599,0.41964,0.41421,0.37264,0.26107,1.26539,1.3818,1.35804,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,179046,1.07388,0.9176,1.06113,0.41652,0.41373,0.37234,0.26111,1.26433,1.38299,1.35707,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,181456,1.06296,0.90422,1.06285,0.41602,0.41404,0.37221,0.26111,1.26418,1.38496,1.35746,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,183840,1.05644,0.90919,1.06409,0.41187,0.41867,0.37285,0.26144,1.26398,1.38579,1.35788,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,186220,1.04472,0.87868,1.05661,0.4137,0.4186,0.37282,0.26158,1.2641,1.3865,1.35825,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,188605,1.05369,0.90074,1.05601,0.41369,0.42117,0.37302,0.26179,1.26423,1.3877,1.35877,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,190961,1.04109,0.8779,1.05292,0.41365,0.42156,0.37303,0.26159,1.26445,1.38912,1.35942,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,193307,1.04689,0.88593,1.06209,0.41796,0.41748,0.37319,0.26158,1.26447,1.39093,1.35955,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,195660,1.04768,0.86534,1.05063,0.4113,0.42295,0.37291,0.26125,1.26446,1.39248,1.36011,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,197997,1.03857,0.8705,1.05705,0.41169,0.42207,0.37312,0.26138,1.26466,1.39404,1.36088,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,200326,1.03572,0.85547,1.04602,0.40769,0.42546,0.37328,0.26141,1.26484,1.39505,1.36173,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,202667,1.03122,0.86302,1.05388,0.41027,0.4231,0.37344,0.26152,1.26488,1.39609,1.36233,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,205016,1.02946,0.85776,1.05783,0.41259,0.42023,0.37371,0.26167,1.26478,1.39677,1.36247,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,207357,1.02868,0.84555,1.04462,0.40846,0.42342,0.37362,0.26164,1.26485,1.39799,1.36299,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,209708,1.02009,0.8549,1.05358,0.40852,0.4233,0.37317,0.26134,1.26471,1.3991,1.36317,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,212039,1.01319,0.83286,1.04302,0.40941,0.42295,0.37317,0.26128,1.26438,1.40019,1.36328,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,214361,1.0208,0.82221,1.04187,0.40972,0.42325,0.3733,0.26129,1.26434,1.40113,1.36325,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,216720,1.01419,0.83705,1.04821,0.40952,0.42144,0.37332,0.26127,1.26439,1.40205,1.36345,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,219083,1.01766,0.82517,1.04216,0.40819,0.42328,0.37333,0.26145,1.26443,1.40265,1.36386,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,221452,1.00827,0.8067,1.03614,0.40584,0.42472,0.3734,0.2614,1.2648,1.40326,1.3645,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,223840,0.99669,0.80482,1.03296,0.40842,0.42253,0.37344,0.26161,1.26481,1.4037,1.36486,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,226214,1.0037,0.79802,1.03359,0.40853,0.42408,0.37358,0.26165,1.26487,1.40456,1.36532,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,228597,0.98883,0.78131,1.02861,0.40955,0.42179,0.37365,0.26171,1.26509,1.40521,1.36557,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,231010,0.98953,0.78694,1.03181,0.41289,0.41921,0.37357,0.26167,1.26497,1.40536,1.36567,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,233408,0.9952,0.78815,1.03239,0.41221,0.41959,0.37351,0.26167,1.26469,1.40605,1.36565,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,235815,0.98872,0.78139,1.02042,0.41007,0.42187,0.37351,0.26178,1.26488,1.40713,1.36605,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
