epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,73106.7,1.27097,1.32964,1.16397,0.37203,0.36234,0.30055,0.2036,1.33507,1.52547,1.34592,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,74165.9,1.2748,1.33959,1.16624,0.37636,0.36389,0.30109,0.20374,1.33511,1.52596,1.34567,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,75227.5,1.26875,1.34195,1.16628,0.37436,0.36244,0.30085,0.20374,1.33528,1.5255,1.34575,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,76297.4,1.26303,1.34351,1.16424,0.37655,0.36272,0.30074,0.20372,1.33522,1.52561,1.34546,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,77322.1,1.27027,1.33014,1.16559,0.37514,0.3615,0.30082,0.20378,1.3354,1.52689,1.34545,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,78341.1,1.26316,1.33494,1.16514,0.38229,0.36138,0.30132,0.20402,1.33572,1.52688,1.34523,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,79349.3,1.26392,1.33762,1.16521,0.38545,0.36187,0.30173,0.20428,1.33502,1.52667,1.34453,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,80331,1.25608,1.32363,1.16183,0.38299,0.36212,0.30209,0.20445,1.33502,1.52682,1.34401,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,81562.2,1.2563,1.31946,1.1614,0.38344,0.36473,0.30291,0.20499,1.33503,1.52639,1.34376,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,83097.7,1.25901,1.31057,1.15733,0.38385,0.36815,0.30393,0.20571,1.33546,1.52592,1.34342,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,84434.7,1.25931,1.32314,1.16277,0.37457,0.3748,0.30479,0.20641,1.33528,1.5249,1.34331,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,85855.1,1.26109,1.30028,1.1581,0.34586,0.37682,0.30551,0.20721,1.33512,1.52565,1.34321,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,87241.9,1.24852,1.29679,1.15645,0.35171,0.37705,0.30577,0.20733,1.33495,1.52611,1.34314,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,88635.2,1.26026,1.30825,1.15837,0.3582,0.37595,0.30587,0.2075,1.33511,1.52635,1.34331,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,90225.3,1.25058,1.29935,1.15343,0.3522,0.37415,0.30613,0.20758,1.33604,1.52715,1.34392,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,91804.4,1.24698,1.29062,1.14988,0.35134,0.37379,0.30622,0.20759,1.33637,1.52786,1.34347,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
